,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
225,INFY,EQ,2018-04-10,1111.25,1112.0,1124.5,1105.4,1114.65,1113.4,1115.77,4463029,4979728695.0,144468,3520250,78.88,4,2018,0.1934758155230698,Slight or No Change
226,INFY,EQ,2018-04-11,1113.4,1118.0,1131.5,1116.5,1124.5,1124.25,1124.78,4512787,5075891573.0,102586,3296304,73.04,4,2018,0.9744925453565534,Slight Positive
227,INFY,EQ,2018-04-12,1124.25,1129.45,1172.75,1125.0,1164.05,1162.6,1157.71,8522183,9866189147.0,216130,5624945,66.0,4,2018,3.411162997553907,Among top gainers
228,INFY,EQ,2018-04-13,1162.6,1174.0,1185.9,1150.25,1168.0,1171.45,1172.37,10613519,12442924999.0,180965,5370870,50.6,4,2018,0.7612248408739086,Slight Positive
229,INFY,EQ,2018-04-16,1171.45,1102.0,1140.0,1102.0,1134.5,1133.2,1125.66,12372542,13927236193.0,201992,5012390,40.51,4,2018,-3.265184173460245,Among top losers
230,INFY,EQ,2018-04-17,1133.2,1127.0,1127.4,1115.0,1124.65,1125.2,1121.63,5198970,5831317996.0,203792,3086531,59.37,4,2018,-0.7059654076950195,Slight Negative
231,INFY,EQ,2018-04-18,1125.2,1122.85,1134.75,1113.85,1125.95,1125.95,1124.27,5215190,5863305787.0,121114,3220905,61.76,4,2018,0.06665481692142983,Slight or No Change
232,INFY,EQ,2018-04-19,1125.95,1124.0,1139.8,1123.1,1133.4,1132.85,1132.61,4262771,4828035904.0,119470,3277709,76.89,4,2018,0.6128158443980514,Slight Positive
233,INFY,EQ,2018-04-20,1132.85,1139.0,1193.7,1136.95,1179.65,1178.45,1171.78,12136346,14221070742.0,213680,7374221,60.76,4,2018,4.025246060820065,Among top gainers
234,INFY,EQ,2018-04-23,1178.45,1168.0,1214.4,1155.25,1185.95,1187.7,1186.79,10915319,12954180381.0,190031,5762099,52.79,4,2018,0.7849293563579218,Slight Positive
